Signal,Ticker,Sector,Last Close,52W Extreme,% From Extreme,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
NEW_HIGH,ABNB,Consumer Discretionary,187.3,189.2,-1.0,78.6,0.8,2026-08-19,,,,,,,N,N,0
NEW_HIGH,EXPE,Consumer Discretionary,321.63,335.0,-3.99,63.5,0.8,2026-08-17,20.2,31.92,0.8,2.303,60.0,15.89,N,N,2
NEW_HIGH,KO,Consumer Staples,91.1,91.87,-0.84,78.5,1.0,2026-08-20,27.4,10.84,1.3,1.155,233.0,3.33,N,N,2
NEW_HIGH,TGT,Consumer Staples,165.44,165.48,-0.02,76.7,1.4,2026-08-21,16.4,4.58,0.99,1.07,280.0,10.08,N,N,2
NEW_HIGH,APA,Energy,43.39,45.05,-3.68,71.7,1.1,2026-08-20,,,,,,,N,N,0
NEW_HIGH,COP,Energy,134.87,135.88,-0.74,77.3,1.2,2026-08-21,17.8,2.48,1.54,0.356,249.0,7.57,N,N,3
NEW_HIGH,EOG,Energy,153.05,153.67,-0.4,59.9,1.1,2026-08-20,11.8,2.65,1.85,0.259,267.0,12.92,N,N,4
NEW_HIGH,FANG,Energy,210.72,216.9,-2.85,63.9,0.8,2026-08-20,40.1,1.56,0.47,0.287,209.0,5.25,N,N,3
NEW_HIGH,MPC,Energy,360.72,367.6,-1.87,76.7,0.9,2026-08-20,12.5,5.35,1.25,1.333,111.0,28.86,N,N,3
NEW_HIGH,OKE,Energy,93.33,97.9,-4.67,64.5,0.8,2026-08-19,16.1,2.56,0.74,1.431,459.0,5.79,N,N,2
NEW_HIGH,PSX,Energy,242.87,246.95,-1.65,84.2,1.0,2026-08-20,110.9,3.08,1.32,0.629,209.0,2.19,N,N,3
NEW_HIGH,TRGP,Energy,299.1,307.94,-2.87,71.8,1.5,2026-08-21,28.9,20.48,0.77,5.158,167.0,10.35,N,N,2
NEW_HIGH,VLO,Energy,348.86,352.7,-1.09,74.9,0.7,2026-08-20,14.6,4.02,1.64,0.401,138.0,23.97,N,N,4
NEW_HIGH,BAC,Financials,61.69,65.23,-5.43,44.7,1.2,2026-08-17,,,,,,,N,N,0
NEW_HIGH,BNY,Financials,158.49,165.69,-4.35,55.7,1.0,2026-08-17,,,,,,,N,N,0
NEW_HIGH,CFG,Financials,69.86,75.33,-7.26,35.4,1.3,2026-08-17,,,,,,,N,N,0
NEW_HIGH,IVZ,Financials,32.02,32.8,-2.38,62.3,0.6,2026-08-19,,1.42,0.71,0.121,269.0,-0.69,N,N,3
NEW_HIGH,MTB,Financials,240.34,255.95,-6.1,34.2,1.0,2026-08-17,12.7,1.37,,,250.0,18.89,N,N,4
NEW_HIGH,PNC,Financials,243.13,258.96,-6.11,35.6,1.6,2026-08-17,13.4,1.69,,,329.0,18.16,N,N,3
NEW_HIGH,SCHW,Financials,112.3,112.4,-0.09,76.0,1.0,2026-08-21,20.5,4.42,0.66,1.511,114.0,5.49,N,N,2
NEW_HIGH,STT,Financials,187.13,195.18,-4.12,56.0,1.0,2026-08-17,16.5,2.15,,,197.0,11.32,N,N,2
