Signal,Ticker,Sector,Last Close,52W Extreme,% From Extreme,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
NEW_HIGH,VZ,Communication Services,50.14,50.93,-1.55,69.7,0.8,2026-09-01,13.1,2.0,0.6,1.841,559.0,3.84,N,N,3
NEW_HIGH,APA,Energy,42.77,45.13,-5.23,55.2,0.8,2026-09-02,9.0,2.14,0.95,0.489,226.0,4.74,N,N,4
NEW_HIGH,COP,Energy,134.26,137.42,-2.3,64.4,0.8,2026-09-03,17.9,2.47,1.54,0.356,248.0,7.48,N,N,3
NEW_HIGH,CVX,Energy,208.6,213.2,-2.16,64.4,0.7,2026-09-03,20.1,2.15,1.25,0.19,337.0,10.39,N,N,3
NEW_HIGH,MPC,Energy,388.9,398.52,-2.41,76.0,0.7,2026-09-03,13.5,5.77,1.25,1.333,103.0,28.86,N,N,3
NEW_HIGH,OKE,Energy,95.43,99.85,-4.43,50.4,1.0,2026-09-01,16.5,2.62,0.74,1.431,447.0,5.79,N,N,2
NEW_HIGH,PSX,Energy,255.09,260.68,-2.14,68.6,0.8,2026-09-03,14.6,3.23,1.32,0.629,199.0,17.52,N,N,4
NEW_HIGH,SLB,Energy,57.51,60.15,-4.39,64.1,0.7,2026-08-31,28.1,3.27,1.44,0.47,206.0,2.05,N,N,3
NEW_HIGH,VLO,Energy,370.72,375.11,-1.17,69.5,1.2,2026-09-03,15.5,4.27,1.64,0.401,129.0,23.99,N,N,3
NEW_HIGH,BNY,Financials,164.84,165.84,-0.6,51.3,1.0,2026-09-04,19.2,2.8,,,135.0,8.6,N,N,2
NEW_HIGH,CPAY,Financials,416.37,427.46,-2.59,58.6,0.7,2026-09-03,25.3,7.72,0.97,2.753,,16.45,N,N,1
NEW_HIGH,PFG,Financials,116.68,121.18,-3.71,61.6,1.3,2026-09-03,16.9,2.06,1.59,0.353,284.0,6.91,N,N,3
NEW_HIGH,BIIB,Health Care,220.83,225.8,-2.2,63.2,0.7,2026-09-03,39.2,1.73,1.86,0.443,,5.63,N,N,2
NEW_HIGH,IQV,Health Care,267.77,271.8,-1.48,78.6,1.0,2026-09-04,33.3,7.14,0.71,2.58,,8.03,N,N,1
NEW_HIGH,JNJ,Health Care,275.23,281.07,-2.08,63.7,0.7,2026-09-02,32.0,7.8,1.09,0.577,193.0,8.61,N,N,3
NEW_HIGH,PFE,Health Care,28.45,29.21,-2.6,65.7,0.7,2026-09-03,37.9,1.9,1.27,0.743,597.0,0.75,N,N,3
NEW_HIGH,REGN,Health Care,827.72,859.34,-3.68,56.0,0.8,2026-09-03,20.5,2.62,3.33,0.085,45.0,40.39,N,N,4
NEW_HIGH,RVTY,Health Care,130.22,133.0,-2.09,73.4,0.8,2026-09-03,62.6,2.01,1.8,0.462,21.0,2.08,N,N,3
NEW_HIGH,SOLV,Health Care,91.69,94.16,-2.62,80.2,0.6,2026-09-01,11.3,3.25,1.02,1.103,,8.11,N,N,2
NEW_HIGH,TECH,Health Care,72.43,72.58,-0.21,53.8,0.8,2026-09-03,62.4,5.36,4.55,0.137,44.0,1.16,N,N,4
NEW_HIGH,VRTX,Health Care,546.12,560.25,-2.52,65.0,0.7,2026-09-03,31.8,6.83,3.19,0.098,,17.15,N,N,3
NEW_HIGH,DE,Industrials,693.53,705.88,-1.75,73.2,0.8,2026-09-03,38.6,6.68,2.13,3.76,93.0,17.96,N,N,3
NEW_HIGH,CRM,Information Technology,259.23,268.27,-3.37,88.2,0.6,2026-09-03,23.8,5.56,0.84,1.104,67.0,10.91,N,N,2
NEW_HIGH,CRWD,Information Technology,213.1,233.88,-8.88,49.7,0.8,2026-08-31,5327.5,42.77,1.57,0.16,,0.04,N,N,2
NEW_HIGH,DELL,Information Technology,524.14,534.99,-2.03,59.0,1.3,2026-09-04,30.0,-236.95,0.96,,49.0,17.45,N,N,3
NEW_HIGH,GEN,Information Technology,30.65,31.65,-3.16,73.8,0.9,2026-09-03,18.4,6.91,0.47,3.078,160.0,1.67,N,N,2
NEW_HIGH,HPQ,Information Technology,32.64,32.78,-0.43,67.3,0.9,2026-09-04,12.2,-320.0,0.79,,376.0,2.68,N,N,4
NEW_HIGH,MSI,Information Technology,468.05,494.85,-5.42,57.2,0.8,2026-09-01,36.9,28.99,1.1,3.579,102.0,12.68,N,N,2
NEW_HIGH,CF,Materials,133.35,141.27,-5.61,71.3,1.0,2026-09-02,10.2,3.52,4.86,0.405,174.0,13.04,N,N,5
NEW_HIGH,CTVA,Materials,87.86,90.87,-3.31,84.3,0.9,2026-09-03,53.2,2.33,1.52,0.192,81.0,1.65,N,N,3
NEW_HIGH,ACHV,Other,8.49,8.64,-1.74,65.6,0.6,2026-09-03,,-59.37,0.95,,,-1.66,N,N,1
NEW_HIGH,ACNB,Other,65.95,67.6,-2.44,66.0,1.0,2026-09-03,12.4,1.58,,,244.0,5.33,N,N,3
NEW_HIGH,AEAQ,Other,10.1,10.1,0.0,58.8,0.0,2026-09-04,,-42.08,5.7,,,,N,N,2
NEW_HIGH,ALDF,Other,10.81,10.81,0.0,73.3,0.0,2026-09-04,51.5,982.27,16.76,,,0.21,N,N,2
NEW_HIGH,ALIS,Other,10.3,10.3,0.0,85.7,6.5,2026-09-04,85.8,429.17,3.05,,,0.12,N,N,2
NEW_HIGH,ANGO,Other,15.2,16.29,-6.69,40.8,1.5,2026-09-01,,3.71,2.19,0.064,,-0.88,N,N,2
NEW_HIGH,APAC,Other,10.26,10.26,0.0,,0.2,2026-09-04,78.9,320.62,4.88,0.0,,0.13,N,N,3
NEW_HIGH,ARTC,Other,9.97,10.0,-0.3,48.0,0.0,2026-09-02,,-41.31,0.09,,,,N,N,1
NEW_HIGH,ARTNA,Other,36.19,36.5,-0.85,70.9,0.6,2026-09-04,15.9,1.46,1.01,0.724,349.0,2.28,N,N,4
NEW_HIGH,ATLO,Other,32.44,32.53,-0.28,60.8,0.5,2026-09-04,12.3,1.35,,,300.0,2.63,N,N,4
NEW_HIGH,ATRC,Other,51.52,53.5,-3.7,75.6,1.0,2026-09-03,245.3,5.07,4.22,0.144,,0.21,N,N,3
NEW_HIGH,BFRI,Other,1.61,1.63,-1.23,72.0,1.0,2026-09-04,,3.84,1.18,1.26,,-0.46,N,N,0
NEW_HIGH,BLZR,Other,10.22,10.23,-0.1,77.8,0.1,2026-09-02,,-32.55,10.33,,,,N,N,2
NEW_HIGH,BPRN,Other,43.53,44.01,-1.09,60.8,1.0,2026-09-04,11.5,1.06,,,322.0,3.78,N,N,4
