Signal,Ticker,Sector,Last Close,52W Extreme,% From Extreme,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
NEW_HIGH,BBY,Consumer Discretionary,90.8,91.37,-0.62,58.7,0.7,2026-09-11,14.7,6.0,1.12,1.301,423.0,6.19,N,N,3
NEW_HIGH,ADM,Consumer Staples,86.72,88.75,-2.29,70.3,1.0,2026-09-10,23.7,1.77,1.39,0.391,240.0,3.66,N,N,3
NEW_HIGH,APA,Energy,44.73,46.1,-2.97,56.6,0.8,2026-09-10,9.4,2.23,0.95,0.489,224.0,4.74,N,N,4
NEW_HIGH,COP,Energy,137.35,138.89,-1.11,56.5,0.9,2026-09-10,18.2,2.52,1.54,0.356,245.0,7.55,N,N,3
NEW_HIGH,CVX,Energy,214.06,217.4,-1.54,65.2,0.8,2026-09-10,20.6,2.21,1.25,0.19,333.0,10.38,N,N,3
NEW_HIGH,MPC,Energy,395.93,409.11,-3.22,77.3,1.0,2026-09-11,13.7,5.87,1.25,1.333,101.0,28.82,N,N,3
NEW_HIGH,PSX,Energy,259.47,265.43,-2.25,70.4,0.9,2026-09-11,14.8,3.29,1.32,0.629,196.0,17.59,N,N,4
NEW_HIGH,VLO,Energy,390.42,399.26,-2.21,80.4,1.3,2026-09-11,16.3,4.5,1.64,0.401,123.0,23.97,N,N,3
NEW_HIGH,BNY,Financials,162.66,165.84,-1.92,63.3,0.9,2026-09-04,19.0,2.77,,,136.0,8.57,N,N,2
NEW_HIGH,IQV,Health Care,261.77,271.8,-3.69,52.4,1.1,2026-09-04,32.6,6.98,0.71,2.58,,8.04,N,N,1
NEW_HIGH,EXPD,Industrials,192.6,193.15,-0.28,61.9,1.2,2026-09-11,28.0,11.82,1.57,0.267,84.0,6.88,N,N,3
NEW_HIGH,DELL,Information Technology,567.29,567.75,-0.08,71.2,1.6,2026-09-11,33.0,-256.46,0.96,,44.0,17.19,N,N,3
NEW_HIGH,HPQ,Information Technology,35.48,36.23,-2.07,71.5,1.7,2026-09-11,13.5,-347.84,0.79,,338.0,2.62,N,N,4
NEW_HIGH,SWKS,Information Technology,88.35,92.3,-4.28,88.5,1.8,2026-09-11,45.8,2.32,3.1,0.119,413.0,1.93,N,N,4
NEW_HIGH,CF,Materials,133.07,141.66,-6.06,55.2,0.9,2026-09-10,9.9,3.51,4.86,0.405,180.0,13.48,N,N,5
NEW_HIGH,AEAQ,Other,10.08,10.1,-0.2,71.4,0.0,2026-09-04,,-42.0,5.7,,,,N,N,2
NEW_HIGH,ALDF,Other,10.82,10.82,0.0,85.7,6.2,2026-09-11,51.5,983.64,16.76,,,0.21,N,N,2
NEW_HIGH,ALIS,Other,10.34,10.4,-0.58,76.0,0.0,2026-09-08,86.2,430.83,3.05,,,0.12,N,N,2
NEW_HIGH,AOUT,Other,15.68,16.09,-2.55,78.0,0.5,2026-09-08,,1.2,4.93,0.195,,-0.31,N,N,3
NEW_HIGH,APAC,Other,10.25,10.26,-0.1,66.7,0.0,2026-09-04,78.8,320.31,4.88,0.0,,0.13,N,N,3
NEW_HIGH,ARTC,Other,10.0,10.0,0.0,56.0,0.0,2026-09-11,,-41.32,0.09,,,,N,N,1
NEW_HIGH,ARTNA,Other,35.85,36.98,-3.06,54.8,1.2,2026-09-08,15.7,1.44,1.01,0.724,353.0,2.28,N,N,4
NEW_HIGH,ATLO,Other,32.49,32.62,-0.4,63.9,0.6,2026-09-11,12.5,1.35,,,296.0,2.59,N,N,4
NEW_HIGH,ATRC,Other,54.54,55.72,-2.12,70.9,1.2,2026-09-08,259.7,5.37,4.22,0.144,,0.21,N,N,3
NEW_HIGH,AVAH,Other,14.08,14.54,-3.16,64.8,0.6,2026-09-11,11.2,10.67,1.16,5.227,,1.26,N,N,2
NEW_HIGH,AVT,Other,99.63,99.92,-0.29,74.9,1.7,2026-09-11,24.8,1.63,1.78,0.692,149.0,4.01,N,N,3
NEW_HIGH,AYA,Other,27.97,30.4,-7.99,55.1,1.1,2026-09-09,36.3,8.22,2.02,0.172,,0.77,N,N,3
NEW_HIGH,BCAL,Other,21.81,22.1,-1.31,60.9,1.1,2026-09-11,11.9,1.19,,,220.0,1.84,N,N,4
NEW_HIGH,BFRI,Other,1.55,1.66,-6.63,55.3,1.9,2026-09-08,,3.7,1.18,1.26,,-0.43,N,N,0
NEW_HIGH,BLZR,Other,10.21,10.24,-0.29,66.7,0.0,2026-09-08,,-32.52,10.33,,,,N,N,2
NEW_HIGH,BPAC,Other,10.18,10.2,-0.2,50.0,0.0,2026-09-09,339.3,71.19,,,,,N,N,0
NEW_HIGH,BPRN,Other,43.35,44.1,-1.7,63.0,0.9,2026-09-11,11.5,1.06,,,321.0,3.78,N,N,4
NEW_HIGH,BRTX,Other,2.67,2.9,-7.93,93.5,0.0,2026-09-09,,1.12,2.35,0.01,,-21.2,N,N,3
NEW_HIGH,BSIN,Other,1.57,1.65,-4.85,63.5,0.8,2026-09-09,,2.22,1.21,0.13,,-0.28,N,N,1
NEW_HIGH,BSVN,Other,54.89,57.68,-4.84,63.2,0.6,2026-09-04,12.6,1.96,,,218.0,4.37,N,N,3
NEW_HIGH,BUUU,Other,39.5,45.25,-12.71,68.4,0.5,2026-09-08,,108.22,4.73,0.103,,,N,N,2
NEW_HIGH,BVC,Other,16.08,18.0,-10.67,56.2,0.4,2026-09-08,10.9,9.23,610.62,,,1.47,N,N,3
NEW_HIGH,BYFC,Other,11.85,12.35,-4.05,48.1,0.6,2026-09-04,,0.94,,,,-2.77,N,N,1
NEW_HIGH,CAAS,Other,5.36,5.64,-4.96,67.0,0.3,2026-09-08,2.8,0.36,1.45,0.151,,1.9,N,N,4
NEW_HIGH,CCAQ,Other,10.68,10.68,0.0,96.4,0.2,2026-09-11,53.4,-30.87,0.36,,,0.2,N,N,2
NEW_HIGH,CHAR,Other,10.97,11.46,-4.28,,1.6,2026-09-11,43.9,-39.32,0.04,,,0.25,N,N,2
NEW_HIGH,CHCI,Other,20.07,22.07,-9.06,63.7,0.8,2026-09-10,8.5,2.54,7.67,0.06,,2.35,N,N,4
NEW_HIGH,CHMG,Other,85.1,86.0,-1.05,60.6,1.1,2026-09-11,12.2,1.52,,,170.0,6.96,N,N,3
NEW_HIGH,CHPG,Other,10.5,10.5,0.0,66.7,0.1,2026-09-11,29.2,-58.99,0.2,,,0.36,N,N,2
NEW_HIGH,CHRD,Other,152.01,154.0,-1.29,57.5,0.9,2026-09-10,10.3,1.0,1.22,0.18,342.0,14.81,N,N,5
NEW_HIGH,CHYM,Other,33.0,35.55,-7.17,51.1,1.2,2026-09-09,6.1,8.89,4.62,0.129,,5.37,N,N,4
NEW_HIGH,CLMT,Other,56.8,58.4,-2.74,73.6,1.1,2026-09-11,,-4.39,0.84,,,-1.54,N,N,1
NEW_HIGH,CMPS,Other,14.35,15.87,-9.58,58.1,0.8,2026-09-09,,23.03,1.29,0.646,,-3.79,N,N,1
NEW_HIGH,CRAQ,Other,10.39,10.4,-0.1,80.0,0.0,2026-09-09,34.6,-37.64,2.4,,,0.3,N,N,3
NEW_HIGH,CRDL,Other,2.0,2.34,-14.53,55.8,0.7,2026-09-09,,13.31,5.55,0.004,,-0.25,N,N,2
NEW_HIGH,CTRM,Other,2.42,2.66,-9.02,47.3,1.4,2026-09-08,0.7,0.04,6.88,0.137,,3.37,N,N,5
NEW_HIGH,CTSO,Other,6.41,6.98,-8.17,98.8,0.0,2026-09-09,,-26.82,0.66,,,-5.8,N,N,1
NEW_HIGH,CZFS,Other,82.21,84.14,-2.29,55.6,1.0,2026-09-11,9.6,1.12,,,248.0,8.55,N,N,4
NEW_HIGH,DMAA,Other,10.8,10.8,0.0,72.7,0.0,2026-09-11,60.0,-35.41,0.02,,,0.18,N,N,2
NEW_HIGH,DMII,Other,10.16,10.21,-0.49,59.8,0.0,2026-09-09,35.0,-36.17,0.34,,,0.29,N,N,2
NEW_HIGH,DRDB,Other,10.67,10.68,-0.09,63.6,0.0,2026-09-08,,-105.64,0.06,,,,N,N,1
NEW_HIGH,DRTS,Other,14.43,15.17,-4.88,43.0,0.7,2026-09-04,,30.25,11.09,0.344,,-1.04,N,N,2
NEW_HIGH,DYNC,Other,10.91,10.98,-0.64,58.5,0.0,2026-09-08,4.9,6.34,296.11,,,2.23,N,N,3
NEW_HIGH,EDRY,Other,67.12,71.84,-6.57,74.0,1.4,2026-09-11,20.2,1.92,1.28,0.89,,3.33,N,N,2
NEW_HIGH,EFSI,Other,45.52,47.07,-3.29,70.7,1.2,2026-09-10,12.9,1.25,,,272.0,3.54,N,N,4
NEW_HIGH,EHLD,Other,15.2,15.8,-3.8,81.7,3.3,2026-09-11,4.5,1.65,3.1,0.734,368.0,3.39,N,N,5
NEW_HIGH,EOLS,Other,7.84,9.31,-15.79,40.3,0.6,2026-09-04,,-16.75,1.7,,,-0.53,N,N,1
NEW_HIGH,ETS,Other,1.5,1.55,-3.23,64.6,1.0,2026-09-11,,1.35,71.2,,,-0.27,N,N,2
NEW_HIGH,FBLA,Other,15.98,16.07,-0.56,61.0,0.9,2026-09-11,94.0,0.82,,,,0.17,N,N,2
NEW_HIGH,FDSB,Other,18.52,18.69,-0.91,54.6,1.1,2026-09-04,54.5,0.75,,,,0.34,N,N,2
