Signal,Ticker,Sector,Last Close,52W Extreme,% From Extreme,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
NEW_HIGH,LYV,Communication Services,188.46,189.25,-0.42,61.8,0.5,2026-08-14,,527.9,0.85,6.202,,-1.13,N,N,0
NEW_HIGH,OMC,Communication Services,87.57,88.55,-1.11,60.7,0.6,2026-08-14,236.7,2.49,0.92,1.077,365.0,0.37,N,N,2
NEW_HIGH,ABNB,Consumer Discretionary,184.06,187.12,-1.64,82.5,0.8,2026-08-11,42.0,13.92,1.41,0.32,,4.38,N,N,2
NEW_HIGH,DRI,Consumer Discretionary,225.26,229.76,-1.96,71.1,0.5,2026-08-13,21.6,11.64,0.31,3.645,272.0,10.43,N,N,2
NEW_HIGH,EXPE,Consumer Discretionary,332.69,333.24,-0.17,76.3,0.8,2026-08-14,20.9,33.02,0.8,2.303,58.0,15.9,N,N,2
NEW_HIGH,GRMN,Consumer Discretionary,310.2,314.28,-1.3,85.0,0.5,2026-08-10,32.0,6.63,3.03,0.025,135.0,9.68,N,N,4
NEW_HIGH,SBUX,Consumer Discretionary,107.69,109.88,-1.99,65.8,0.5,2026-08-13,62.2,-15.99,0.76,,230.0,1.73,N,N,3
NEW_HIGH,TPR,Consumer Discretionary,128.98,164.8,-21.74,33.6,2.1,2026-08-10,17.7,38.24,1.75,5.716,143.0,7.27,N,N,2
NEW_HIGH,WSM,Consumer Discretionary,241.58,254.89,-5.22,57.7,0.8,2026-08-11,27.1,15.21,1.33,0.799,125.0,8.91,N,N,3
NEW_HIGH,TGT,Consumer Staples,154.48,156.47,-1.27,80.9,1.0,2026-08-13,20.4,4.28,0.93,1.175,300.0,7.57,N,N,2
NEW_HIGH,MPC,Energy,355.42,360.1,-1.3,69.9,0.9,2026-08-14,12.3,6.22,1.25,1.333,113.0,28.82,N,N,3
NEW_HIGH,OKE,Energy,94.99,95.05,-0.06,68.6,0.6,2026-08-14,16.4,2.68,0.74,1.431,451.0,5.79,N,N,2
NEW_HIGH,PSX,Energy,233.61,236.14,-1.07,75.7,1.0,2026-08-14,13.3,3.28,1.32,0.629,217.0,17.52,N,N,4
NEW_HIGH,VLO,Energy,341.67,346.09,-1.28,72.2,0.7,2026-08-14,14.2,4.25,1.64,0.401,140.0,23.99,N,N,4
NEW_HIGH,AMP,Financials,569.54,572.56,-0.53,75.1,0.6,2026-08-14,13.8,7.91,2.18,0.676,119.0,41.41,N,N,5
NEW_HIGH,BAC,Financials,64.49,65.2,-1.09,65.9,0.8,2026-08-13,14.9,1.64,,,198.0,4.33,N,N,3
NEW_HIGH,BNY,Financials,163.24,163.66,-0.26,63.6,0.7,2026-08-13,19.0,2.78,,,136.0,8.57,N,N,2
NEW_HIGH,BRK-B,Financials,504.03,537.74,-6.27,54.9,0.9,2026-08-10,12.7,0.0,2.89,0.171,,39.77,N,N,5
NEW_HIGH,CFG,Financials,74.73,74.86,-0.17,65.4,0.5,2026-08-14,16.3,1.31,,,246.0,4.59,N,N,3
NEW_HIGH,CPAY,Financials,417.6,425.95,-1.96,71.2,0.5,2026-08-13,25.4,7.87,0.97,2.753,,16.45,N,N,1
NEW_HIGH,GPN,Financials,93.05,95.58,-2.65,67.2,0.7,2026-08-13,44.1,1.07,0.82,0.983,107.0,2.11,N,N,4
NEW_HIGH,IVZ,Financials,32.55,32.66,-0.34,65.9,0.9,2026-08-14,,1.44,0.71,0.121,266.0,-0.68,N,N,3
NEW_HIGH,JPM,Financials,362.84,366.5,-1.0,57.8,0.8,2026-08-13,15.6,2.73,,,165.0,23.33,N,N,2
NEW_HIGH,MTB,Financials,254.09,255.68,-0.62,61.7,0.6,2026-08-13,13.5,1.44,,,236.0,18.88,N,N,4
NEW_HIGH,NTRS,Financials,191.41,195.78,-2.23,70.6,0.5,2026-08-13,16.4,2.93,,,171.0,11.64,N,N,2
NEW_HIGH,SCHW,Financials,111.09,111.18,-0.08,80.3,0.8,2026-08-14,20.2,4.37,0.66,1.511,116.0,5.49,N,N,2
NEW_HIGH,USB,Financials,65.42,65.61,-0.29,66.1,0.7,2026-08-13,13.1,1.68,,,319.0,5.01,N,N,3
NEW_HIGH,AMGN,Health Care,415.21,421.79,-1.56,73.1,0.8,2026-08-11,25.8,19.2,1.37,4.903,241.0,16.11,N,N,2
NEW_HIGH,BDX,Health Care,183.4,185.32,-1.04,85.8,0.5,2026-08-13,31.7,2.05,0.86,0.688,229.0,5.78,N,N,3
NEW_HIGH,CAH,Health Care,235.17,258.3,-8.95,56.5,0.8,2026-08-11,32.6,-19.01,0.88,,88.0,7.22,N,N,3
NEW_HIGH,CRL,Health Care,280.05,288.02,-2.77,83.4,0.8,2026-08-12,,4.71,1.35,1.05,,-4.82,N,N,0
NEW_HIGH,DXCM,Health Care,89.75,91.96,-2.4,77.0,0.7,2026-08-14,35.5,12.92,1.73,0.533,,2.53,N,N,2
NEW_HIGH,LH,Health Care,318.13,325.58,-2.29,64.6,0.6,2026-08-13,26.3,2.99,1.8,0.791,91.0,12.09,N,N,3
NEW_HIGH,MRK,Health Care,135.84,135.97,-0.1,66.9,0.8,2026-08-14,108.7,7.31,1.32,1.284,250.0,1.25,N,N,2
NEW_HIGH,RVTY,Health Care,116.84,118.34,-1.27,69.3,0.5,2026-08-13,56.2,1.8,1.8,0.462,24.0,2.08,N,N,3
NEW_HIGH,TECH,Health Care,72.4,72.43,-0.04,71.7,0.6,2026-08-14,62.4,5.43,4.55,0.137,44.0,1.16,N,N,4
NEW_HIGH,VRTX,Health Care,505.75,546.17,-7.4,61.6,0.8,2026-08-10,29.5,6.33,3.19,0.098,,17.14,N,N,3
NEW_HIGH,WAT,Health Care,412.17,420.26,-1.92,79.5,0.4,2026-08-13,104.1,2.65,1.86,0.36,,3.96,N,N,2
NEW_HIGH,AME,Industrials,254.79,261.16,-2.44,63.5,1.3,2026-08-13,37.3,5.19,1.21,0.205,53.0,6.83,N,N,3
NEW_HIGH,EMR,Industrials,163.17,165.79,-1.58,68.1,0.7,2026-08-12,35.7,4.47,0.9,0.677,136.0,4.57,N,N,3
NEW_HIGH,ETN,Industrials,451.51,478.0,-5.54,67.8,0.6,2026-08-12,46.1,8.66,1.24,1.051,97.0,9.8,N,N,2
NEW_HIGH,EXPD,Industrials,186.12,189.87,-1.98,71.2,0.6,2026-08-14,27.1,11.42,1.57,0.267,87.0,6.87,N,N,3
NEW_HIGH,FAST,Industrials,51.02,52.92,-3.59,69.7,0.6,2026-08-11,43.6,14.39,4.18,0.109,187.0,1.17,N,N,4
NEW_HIGH,RTX,Industrials,222.97,226.13,-1.4,62.4,0.6,2026-08-10,39.2,4.53,1.01,0.57,131.0,5.69,N,N,3
NEW_HIGH,SWK,Industrials,102.07,104.68,-2.49,67.2,0.5,2026-08-11,25.0,1.77,1.43,0.582,329.0,4.09,N,N,3
NEW_HIGH,CRWD,Information Technology,216.95,227.5,-4.64,75.1,0.9,2026-08-14,,47.67,1.53,0.176,,-0.02,N,N,1
NEW_HIGH,DELL,Information Technology,490.81,514.0,-4.51,61.5,0.7,2026-08-13,39.1,-226.91,0.95,,51.0,12.56,N,N,3
NEW_HIGH,HPQ,Information Technology,30.11,32.19,-6.46,64.1,0.7,2026-08-13,11.2,-191.78,0.79,,383.0,2.7,N,N,4
NEW_HIGH,NTAP,Information Technology,207.08,209.06,-0.95,85.8,1.0,2026-08-13,32.3,30.04,1.44,2.023,101.0,6.42,N,N,2
NEW_HIGH,PANW,Information Technology,384.27,398.88,-3.66,78.8,0.7,2026-08-13,334.1,11.29,0.86,0.077,,1.15,N,N,2
