Ticker,Sector,Last Close,52W High,% From High,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
EA,Communication Services,205.21,206.0,-0.38,70.4,1.1,2026-07-02,58.5,7.61,1.05,0.274,37.0,3.51,N,N,3
LYV,Communication Services,186.59,187.64,-0.56,74.8,0.8,2026-07-01,,-308.92,0.89,7.383,,-1.77,N,N,1
ABNB,Consumer Discretionary,148.93,150.19,-0.84,72.8,0.9,2026-06-29,,,,,,,N,N,0
KO,Consumer Staples,84.14,84.14,0.0,60.0,0.9,2026-07-02,26.5,10.77,1.36,1.249,252.0,3.18,N,N,2
MNST,Consumer Staples,97.6,98.93,-1.34,72.5,0.9,2026-07-02,47.1,10.94,3.26,0.011,,2.07,N,N,3
MO,Consumer Staples,72.71,74.15,-1.94,59.5,0.7,2026-06-29,15.2,-37.83,0.62,,583.0,4.79,N,N,3
VLO,Energy,267.76,274.92,-2.6,58.1,0.6,2026-07-02,,,,,,,N,N,0
AFL,Financials,120.88,120.88,0.0,62.4,0.6,2026-07-02,13.8,2.06,0.94,0.483,202.0,8.75,N,N,4
AIZ,Financials,279.48,279.5,-0.01,77.9,0.6,2026-07-02,14.3,2.37,0.39,0.376,126.0,19.51,N,N,4
ALL,Financials,250.33,250.38,-0.02,83.9,0.8,2026-07-02,5.5,2.18,0.36,0.237,173.0,45.21,N,N,4
BEN,Financials,34.11,34.55,-1.27,71.9,0.9,2026-07-02,26.0,1.46,5.51,0.235,387.0,1.31,N,N,5
CB,Financials,361.17,361.33,-0.04,77.9,0.9,2026-07-02,12.8,1.9,0.39,0.315,113.0,28.28,N,N,4
CFG,Financials,70.98,72.46,-2.04,71.6,1.1,2026-07-02,16.8,1.26,,,259.0,4.22,N,N,3
CINF,Financials,192.03,192.09,-0.03,89.4,0.9,2026-07-02,11.0,1.89,1.04,0.056,196.0,17.49,N,N,4
EG,Financials,371.35,372.36,-0.27,82.4,0.8,2026-07-02,7.6,0.97,0.38,0.235,215.0,49.09,N,N,5
FITB,Financials,57.16,58.15,-1.7,70.3,0.7,2026-07-01,19.2,1.62,,,280.0,2.97,N,N,2
GL,Financials,180.49,182.32,-1.0,93.6,0.9,2026-07-01,12.5,2.31,0.66,0.536,73.0,14.46,N,N,4
L,Financials,116.52,116.58,-0.05,80.7,0.7,2026-07-02,14.8,1.28,0.5,0.456,21.0,7.87,N,N,5
MET,Financials,90.06,90.06,0.0,56.7,0.8,2026-07-02,17.4,2.13,2.09,1.78,263.0,5.17,N,N,3
MTB,Financials,238.88,243.57,-1.93,64.6,0.6,2026-07-02,13.4,1.37,,,251.0,17.82,N,N,4
PNC,Financials,249.49,254.0,-1.78,69.0,0.6,2026-07-02,14.5,1.74,,,273.0,17.21,N,N,3
TROW,Financials,118.55,118.64,-0.08,77.4,0.6,2026-07-02,,,,,,,N,N,0
TRV,Financials,342.31,342.31,0.0,88.6,0.7,2026-07-02,,,,,,,N,N,0
USB,Financials,61.73,62.38,-1.04,71.7,0.6,2026-07-02,,,,,,,N,N,0
V,Financials,362.13,362.13,0.0,86.2,1.1,2026-07-02,,,,,,,N,N,0
ABBV,Health Care,261.07,261.64,-0.22,77.1,0.8,2026-07-02,,,,,,,N,N,0
BIIB,Health Care,216.12,219.72,-1.64,66.8,1.0,2026-06-29,23.3,1.71,3.06,0.352,,9.29,N,N,3
CAH,Health Care,238.94,240.91,-0.82,77.2,0.8,2026-07-02,36.5,-19.83,0.91,,86.0,6.55,N,N,3
CNC,Health Care,67.86,69.29,-2.06,61.4,0.7,2026-07-02,,1.56,1.12,0.76,,-13.05,N,N,1
CRL,Health Care,230.69,236.62,-2.51,83.9,1.0,2026-07-01,,3.78,1.36,1.026,,-3.71,N,N,0
CVS,Health Care,104.72,106.15,-1.35,64.9,0.6,2026-06-26,45.9,1.72,0.87,1.009,254.0,2.28,N,N,2
DGX,Health Care,215.72,217.41,-0.78,67.3,0.9,2026-07-02,23.8,3.25,1.18,0.827,159.0,9.06,N,N,3
DVA,Health Care,234.91,236.51,-0.68,90.9,1.0,2026-07-02,22.6,-20.58,1.42,12.613,,10.38,N,N,2
ELV,Health Care,417.89,427.19,-2.18,60.5,0.9,2026-07-02,17.7,2.07,1.48,0.723,165.0,23.61,N,N,3
EW,Health Care,94.37,94.47,-0.11,73.8,0.7,2026-07-02,51.0,5.27,4.42,0.068,,1.85,N,N,3
HUM,Health Care,396.75,415.0,-4.4,65.0,0.9,2026-07-02,42.4,2.56,1.77,0.771,89.0,9.36,N,N,3
INCY,Health Care,116.86,118.69,-1.54,63.2,1.2,2026-07-02,16.5,4.16,3.68,0.007,,7.08,N,N,3
JNJ,Health Care,263.04,263.1,-0.02,71.0,0.9,2026-07-02,30.5,7.8,1.02,0.677,204.0,8.63,N,N,3
LLY,Health Care,1213.91,1238.0,-1.95,60.4,0.9,2026-06-29,43.1,34.77,1.5,1.39,57.0,28.16,N,N,2
MRK,Health Care,129.56,130.29,-0.56,65.7,0.6,2026-06-30,36.5,6.97,1.3,1.069,262.0,3.55,N,N,2
MRNA,Health Care,79.76,81.4,-2.01,86.0,1.5,2026-07-02,,4.27,2.41,0.175,,-8.14,N,N,2
UNH,Health Care,425.36,430.2,-1.13,64.0,0.5,2026-07-02,,,,,,,N,N,0
VRTX,Health Care,528.04,529.14,-0.21,90.0,1.0,2026-07-02,,,,,,,N,N,0
WST,Health Care,365.74,367.66,-0.52,82.7,0.7,2026-07-02,,,,,,,N,N,0
CAT,Industrials,963.53,1073.46,-10.24,57.1,0.9,2026-06-30,48.1,23.78,1.35,2.308,68.0,20.04,N,N,2
CSX,Industrials,48.89,49.21,-0.65,61.2,1.1,2026-07-02,30.0,6.69,0.97,1.431,115.0,1.63,N,N,2
DAL,Industrials,92.75,95.68,-3.06,83.3,0.7,2026-07-02,13.5,2.97,0.42,1.05,84.0,6.85,N,N,3
GD,Industrials,373.54,373.6,-0.02,61.5,0.9,2026-07-02,23.5,3.87,1.38,0.377,170.0,15.88,N,N,3
GE,Industrials,377.52,382.97,-1.42,91.0,0.6,2026-07-02,47.0,21.81,1.01,1.165,50.0,8.04,N,N,2
HON,Industrials,229.86,252.0,-8.79,61.5,0.9,2026-06-29,18.3,5.36,1.39,2.574,414.0,12.53,N,N,2
JBHT,Industrials,285.83,294.98,-3.1,47.2,0.8,2026-07-01,44.5,7.5,1.26,0.436,63.0,6.43,N,N,3
JCI,Industrials,140.76,151.18,-6.89,46.5,1.1,2026-07-01,43.0,6.35,1.04,0.703,114.0,3.27,N,N,3
MAS,Industrials,82.77,83.21,-0.53,78.7,0.7,2026-07-02,20.5,-68.97,1.75,122.296,155.0,4.04,N,N,3
ROK,Industrials,471.7,497.36,-5.16,55.7,0.9,2026-06-30,,,,,,,N,N,0
SNA,Industrials,412.09,412.33,-0.06,71.8,1.1,2026-07-02,,,,,,,N,N,0
SWK,Industrials,91.9,95.16,-3.43,67.2,0.7,2026-07-01,,,,,,,N,N,0
UAL,Industrials,133.32,138.77,-3.93,78.6,0.8,2026-06-30,,,,,,,N,N,0
UNP,Industrials,282.25,282.8,-0.19,64.0,0.8,2026-07-02,,,,,,,N,N,0
AMAT,Information Technology,603.04,739.67,-18.47,54.9,1.1,2026-06-30,56.8,20.03,2.51,0.304,35.0,10.61,N,N,4
AMD,Information Technology,517.82,584.73,-11.44,54.6,0.9,2026-06-30,172.6,13.09,2.73,0.06,,3.0,N,N,3
APH,Information Technology,164.59,178.52,-7.8,61.7,0.9,2026-06-30,47.4,14.48,1.71,1.331,61.0,3.47,N,N,2
CRWD,Information Technology,193.98,199.53,-2.78,75.8,0.8,2026-07-02,,42.62,1.53,0.176,,-0.04,N,N,1
FFIV,Information Technology,408.14,427.54,-4.54,58.6,0.9,2026-06-30,33.6,6.35,1.61,0.071,,12.16,N,N,2
FTNT,Information Technology,156.25,159.8,-2.22,65.4,0.7,2026-07-01,60.6,115.91,1.15,0.573,,2.58,N,N,2
GLW,Information Technology,196.79,271.78,-27.59,54.9,1.2,2026-06-30,94.2,15.11,1.61,0.804,57.0,2.09,N,N,3
INTC,Information Technology,120.35,142.35,-15.45,51.9,0.9,2026-06-30,,5.43,2.31,0.36,,-0.6,N,N,2
KLAC,Information Technology,235.55,307.37,-23.37,48.8,1.4,2026-06-30,66.7,52.8,3.03,1.054,39.0,3.53,N,N,3
LRCX,Information Technology,351.41,438.5,-19.86,48.3,1.3,2026-06-30,66.2,41.52,2.54,0.353,30.0,5.31,N,N,4
PANW,Information Technology,348.06,358.1,-2.8,84.3,1.0,2026-07-01,302.7,10.23,0.86,0.077,,1.15,N,N,2
TER,Information Technology,369.09,487.91,-24.35,48.5,1.0,2026-06-30,,,,,,,N,N,0
APD,Materials,314.19,314.28,-0.03,76.4,1.1,2026-07-02,33.1,4.47,1.43,1.016,230.0,9.49,N,N,2
CTVA,Materials,85.8,85.95,-0.17,88.8,0.7,2026-07-01,46.4,2.36,1.47,0.136,84.0,1.85,N,N,3
IFF,Materials,83.83,83.83,0.0,70.0,1.1,2026-07-02,26.0,1.52,1.49,0.457,191.0,3.23,N,N,3
LIN,Materials,546.64,547.22,-0.11,68.3,0.9,2026-07-02,36.2,6.56,0.83,0.656,117.0,15.09,N,N,3
AAL,Other,17.92,18.79,-4.63,87.9,0.9,2026-07-02,,,,,,,N,N,0
ABCL,Other,8.11,8.42,-3.68,81.6,1.1,2026-06-29,,,,,,,N,N,0
ABSI,Other,11.62,12.06,-3.65,79.7,0.6,2026-06-29,,,,,,,N,N,0
ACHC,Other,31.91,32.82,-2.77,79.4,1.3,2026-07-02,,,,,,,N,N,0
ACHV,Other,6.4,7.11,-9.99,65.6,0.6,2026-07-01,,,,,,,N,N,0
ACIW,Other,54.88,54.95,-0.13,81.7,1.1,2026-07-02,,,,,,,N,N,0
ACMR,Other,97.77,127.19,-23.13,53.1,1.5,2026-06-30,,,,,,,N,N,0
ACNB,Other,60.25,61.73,-2.4,64.1,0.9,2026-07-02,,,,,,,N,N,0
ACRS,Other,5.56,5.69,-2.28,87.4,1.0,2026-07-01,,,,,,,N,N,0
ACT,Other,45.34,46.0,-1.43,79.2,0.7,2026-06-30,,,,,,,N,N,0
ADAG,Other,4.47,4.85,-7.84,69.3,0.3,2026-07-01,,,,,,,N,N,0
ADPT,Other,21.19,22.8,-7.06,63.2,0.8,2026-07-02,,,,,,,N,N,0
AFBI,Other,22.58,22.6,-0.09,61.7,2.7,2026-07-02,,,,,,,N,N,0
AIP,Other,35.06,50.26,-30.24,46.9,1.5,2026-06-30,,626.07,0.73,2.601,,-0.79,N,N,0
AIRT,Other,28.87,28.87,0.0,72.8,2.6,2026-07-02,0.9,0.98,1.68,2.463,,30.79,N,N,3
ALAB,Other,406.42,499.48,-18.63,55.6,1.1,2026-06-30,278.4,46.6,11.3,0.028,,1.46,N,N,3
ALDF,Other,10.72,10.72,0.0,64.3,0.0,2026-07-02,51.0,765.71,16.12,,,0.21,N,N,2
ALF,Other,10.89,10.99,-0.91,68.1,0.0,2026-06-29,34.0,-5.68,0.35,,,0.32,N,N,2
ALGM,Other,55.49,71.77,-22.68,56.7,1.3,2026-06-30,,10.77,3.45,0.32,,-0.08,N,N,2
ALGT,Other,118.67,123.63,-4.01,93.5,0.9,2026-07-02,,1.98,0.91,1.691,,-1.92,N,N,0
ALHC,Other,23.8,24.3,-2.06,79.2,0.9,2026-07-02,238.0,23.78,1.58,1.595,,0.1,N,N,1
ALIS,Other,10.18,10.25,-0.68,66.7,3.2,2026-07-02,509.0,10180.0,6.91,,,0.02,N,N,2
ALKS,Other,54.58,55.28,-1.27,76.5,0.6,2026-06-26,60.6,5.19,2.27,0.903,,0.9,N,N,3
ALRS,Other,31.11,31.86,-2.35,69.0,0.8,2026-07-01,29.6,1.36,,,273.0,1.05,N,N,3
ALTO,Other,5.56,6.11,-9.0,48.5,0.9,2026-07-01,15.0,1.73,3.81,0.365,,0.37,N,N,4
AMAL,Other,46.04,47.89,-3.86,60.1,0.7,2026-07-01,13.4,1.7,,,135.0,3.44,N,N,3
AMLX,Other,18.27,19.15,-4.6,85.5,0.7,2026-06-30,,7.43,17.85,0.021,,-1.48,N,N,2
AMRX,Other,17.15,17.86,-3.98,67.7,0.6,2026-06-26,46.4,-120.77,2.47,67.508,,0.37,N,N,3
AOUT,Other,13.37,13.78,-2.98,67.8,0.8,2026-06-29,,1.0,5.44,0.195,,-0.73,N,N,3
APAC,Other,10.12,10.18,-0.59,53.3,0.3,2026-06-30,112.4,194.62,9.27,0.0,,0.09,N,N,3
APGE,Other,132.91,133.85,-0.7,91.3,0.5,2026-07-02,,7.88,32.59,0.006,,-4.33,N,N,2
APOG,Other,40.57,50.88,-20.26,51.8,0.8,2026-06-26,12.7,1.67,1.76,0.563,266.0,3.19,N,N,4
APPS,Other,12.71,13.6,-6.54,68.4,0.9,2026-07-02,,7.96,1.16,1.92,,-0.33,N,N,0
APXT,Other,10.08,10.1,-0.2,68.2,0.1,2026-07-01,,-35.37,12.85,,,,N,N,2
AROW,Other,41.29,42.44,-2.71,69.4,0.8,2026-07-02,13.4,1.55,,,291.0,3.09,N,N,3
ARTNA,Other,34.39,34.82,-1.23,73.9,1.0,2026-07-02,15.4,1.4,1.01,0.737,364.0,2.24,N,N,4
ASML,Other,1769.32,1999.96,-11.53,43.4,1.1,2026-06-30,60.2,1601.9,1.36,0.13,50.0,29.37,N,N,3
ASND,Other,274.5,274.89,-0.14,93.2,0.6,2026-07-02,31.8,30.59,1.0,1.838,,8.62,N,N,1
ASTH,Other,49.17,51.6,-4.71,83.3,1.3,2026-07-02,80.6,3.01,1.35,1.845,,0.61,N,N,1
ATEX,Other,105.14,111.9,-6.04,73.0,1.0,2026-07-02,21.8,7.58,3.33,0.017,,4.83,N,N,3
ATLC,Other,96.4,112.61,-14.39,56.8,1.1,2026-06-26,11.5,2.24,14.67,9.29,,8.4,N,N,3
AUBN,Other,27.63,28.88,-4.33,70.2,0.3,2026-06-26,11.9,1.04,,,401.0,2.33,N,N,4
AVBH,Other,32.96,34.18,-3.57,62.0,0.6,2026-07-02,,1.25,,,,-2.13,N,N,1
AVBP,Other,34.67,35.83,-3.24,75.2,0.8,2026-06-26,,4.85,13.95,0.001,,-3.38,N,N,2
AXGN,Other,45.89,46.95,-2.26,62.8,1.5,2026-07-01,,9.96,7.1,0.084,,-0.64,N,N,2
BACC,Other,10.86,11.0,-1.27,81.4,0.7,2026-07-01,,-37.45,0.32,,,,N,N,1
BATRA,Other,57.61,57.83,-0.38,65.5,1.3,2026-07-01,,7.12,0.46,1.538,,-0.34,N,N,0
BATRK,Other,52.77,53.25,-0.9,57.4,0.6,2026-07-01,,6.52,0.46,1.538,,-0.34,N,N,0
BBCP,Other,11.11,12.19,-8.86,49.5,0.5,2026-07-02,79.4,2.13,1.73,1.54,,0.14,N,N,1
BBGI,Other,25.35,29.3,-13.48,54.7,0.9,2026-06-29,,-0.99,1.1,,,-106.0,N,N,1
BCAL,Other,20.86,21.5,-2.98,70.0,0.7,2026-07-02,11.4,1.16,,,192.0,1.83,N,N,4
BCAX,Other,29.0,29.9,-3.01,90.5,0.9,2026-07-01,,3.7,13.85,0.003,,-2.77,N,N,2
BCML,Other,33.46,34.43,-2.82,64.1,0.6,2026-07-02,13.9,1.05,,,357.0,2.41,N,N,4
BDSX,Other,21.99,24.92,-11.76,71.8,0.7,2026-07-01,,24.33,2.82,8.056,,-3.96,N,N,1
BELFA,Other,230.16,293.51,-21.58,39.0,0.5,2026-06-30,55.6,6.67,3.18,0.422,10.0,4.14,N,N,4
BELFB,Other,266.94,335.29,-20.39,41.0,1.5,2026-06-30,64.2,7.74,3.18,0.422,11.0,4.16,N,N,4
BFC,Other,151.8,154.29,-1.61,66.8,0.6,2026-07-01,21.1,2.08,,,128.0,7.18,N,N,2
BFST,Other,30.64,31.57,-2.95,66.0,0.9,2026-07-02,10.9,1.09,,,196.0,2.82,N,N,4
BHRB,Other,70.15,73.69,-4.8,63.9,0.7,2026-07-02,9.1,1.24,,,313.0,7.7,N,N,4
BIOA,Other,25.1,25.8,-2.71,87.8,0.6,2026-06-29,,2.94,24.76,0.011,,-2.4,N,N,2
BIXI,Other,10.02,10.02,0.0,79.4,3.7,2026-07-02,,-47.49,20.37,,,,N,N,2
BJRI,Other,58.75,62.07,-5.35,70.4,0.6,2026-07-01,29.5,3.32,0.31,1.242,,1.99,N,N,1
BLFS,Other,28.11,30.0,-6.3,58.5,0.6,2026-06-29,,3.69,7.3,0.04,,-0.24,N,N,2
BLZE,Other,15.62,16.59,-5.85,90.7,0.6,2026-07-01,,11.08,1.05,0.737,,-0.39,N,N,1
BMRC,Other,28.43,30.34,-6.3,70.5,0.8,2026-07-02,,1.15,,,351.0,-2.02,N,N,2
BOF,Other,4.78,5.25,-8.95,71.6,0.7,2026-07-01,,11.74,0.87,1.284,,-0.57,N,N,0
BOKF,Other,139.29,142.0,-1.91,65.5,0.7,2026-07-02,14.1,1.42,,,181.0,9.89,N,N,4
BPOP,Other,167.26,170.02,-1.62,68.0,0.7,2026-07-02,12.4,1.72,,,179.0,13.53,N,N,3
BPRN,Other,38.98,39.41,-1.09,65.1,0.8,2026-07-02,13.7,0.97,,,359.0,2.85,N,N,4
BSET,Other,20.23,20.99,-3.62,88.4,2.3,2026-07-02,31.6,1.06,1.97,0.534,395.0,0.64,N,N,4
BSRR,Other,41.09,42.17,-2.56,56.8,0.7,2026-07-02,12.0,1.46,,,253.0,3.42,N,N,4
BSVN,Other,49.59,50.58,-1.96,74.1,1.3,2026-07-01,10.7,1.82,,,217.0,4.64,N,N,3
BTSG,Other,69.03,70.9,-2.64,80.5,0.5,2026-07-02,89.6,7.15,1.74,1.357,,0.77,N,N,1
BUSE,Other,29.65,30.52,-2.85,62.9,0.8,2026-07-02,12.2,1.05,,,351.0,2.43,N,N,4
BUUU,Other,21.8,27.45,-20.58,66.5,1.5,2026-07-02,,59.73,4.73,0.103,,,N,N,2
