Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
CYCU,Other,0.58,0.54,7.41,44.6,0.4,2026-07-02,0.4,0.18,0.31,0.591,,1.64,N,N,4
DAIC,Other,1.85,1.58,17.09,42.3,0.0,2026-06-26,,-0.54,0.39,,,-33.66,N,N,1
DCGO,Other,0.56,0.45,24.44,46.5,0.3,2026-06-26,,0.41,1.79,0.256,,-1.87,N,N,2
DFNS,Other,0.16,0.16,0.0,13.4,0.2,2026-07-02,,0.17,0.25,0.086,,-13.59,N,N,2
DGNX,Other,1.15,0.85,35.29,56.4,0.4,2026-06-26,,2.67,3.56,0.021,,-0.38,N,N,2
DH,Other,0.78,0.62,25.81,43.5,0.4,2026-06-26,,0.56,1.75,0.891,,-1.67,N,N,2
DJT,Other,8.54,6.96,22.7,53.1,1.2,2026-06-26,,1.89,1.07,0.768,,-4.13,N,N,1
DLHC,Other,5.26,5.12,2.73,30.9,0.3,2026-06-26,,0.69,0.87,1.32,,-0.32,N,N,1
DSACU,Other,10.41,10.0,4.1,,0.0,2026-06-30,,-44.85,5.8,,,,N,N,2
DUO,Other,0.74,0.59,25.42,27.8,0.1,2026-06-30,,0.33,1.86,0.001,,-1.91,N,N,2
EDBL,Other,0.13,0.12,8.33,21.8,0.4,2026-07-02,,-0.04,0.72,0.384,,-98.15,N,N,2
EH,Other,6.31,5.97,5.7,43.4,0.4,2026-06-29,,3.3,1.87,0.572,,-0.64,N,N,1
EHGO,Other,2.08,1.12,85.71,53.1,0.1,2026-06-30,,0.36,3.54,0.145,,-9.49,N,N,3
ELAB,Other,1.18,1.07,10.28,21.2,0.5,2026-07-02,,0.18,1.45,0.631,,-152.65,N,N,2
ENLV,Other,0.53,0.52,1.92,6.8,1.6,2026-07-02,0.0,0.06,193.24,0.0,,25.48,N,N,5
EVGN,Other,0.43,0.37,16.22,19.2,0.0,2026-06-26,,-1.76,2.79,0.254,,-1.67,N,N,3
EXLS,Other,27.02,24.85,8.73,41.0,0.9,2026-06-30,17.2,5.31,2.66,0.669,,1.57,N,N,3
EZRA,Other,3.08,3.03,1.65,29.3,1.0,2026-06-29,,0.22,2.4,0.735,,-28.4,N,N,3
FAMI,Other,0.19,0.18,5.56,31.8,3.6,2026-07-02,,0.01,9.35,0.168,,-28.92,N,N,3
FEED,Other,0.52,0.51,1.96,16.7,0.1,2026-06-30,,0.06,0.9,0.038,,-3.64,N,N,2
