Ticker,Last Close,52W High,Date Hit
PUBM,13.9,13.99,2026-07-01
PVLA,138.58,161.38,2026-06-30
PWRD,119.42,123.23,2026-06-30
PYPD,5.05,5.24,2026-06-29
QABA,68.6,68.81,2026-07-01
QBUF,30.64,30.8,2026-06-30
QCRH,98.46,99.43,2026-07-01
QQQJ,45.51,45.85,2026-07-01
QQQS,44.32,45.06,2026-07-01
QRMI,15.52,15.62,2026-06-30
QSML,33.47,33.92,2026-07-01
QTTB,12.58,15.02,2026-06-29
QUMS,10.22,10.25,2026-06-29
QYLD,18.32,18.44,2026-06-30
RANG,10.69,11.66,2026-07-01
RAPP,39.39,43.76,2026-06-30
RBB,28.0,28.0,2026-07-02
RBCAA,93.11,93.29,2026-07-02
RDTY,38.77,39.72,2026-06-30
RDVT,65.5,67.68,2026-07-01
RDVY,80.83,81.36,2026-06-30
REG,79.86,81.93,2026-06-26
REIT,30.47,31.37,2026-06-30
REYN,27.27,27.3,2026-07-02
RF,30.93,31.04,2026-07-02
RLAY,17.9,19.93,2026-06-29
RMBI,15.59,16.59,2026-06-26
RMTI,5.15,5.15,2026-07-02
RNIN,32.65,32.9,2026-07-01
ROIV,35.22,35.9,2026-06-30
ROK,477.3,497.36,2026-06-30
RPRX,55.62,57.22,2026-06-30
RRGB,7.7,8.26,2026-06-30
RRR,64.27,68.11,2026-06-29
RUSC,38.9,39.27,2026-07-01
RVMD,187.94,193.1,2026-06-30
SBFG,25.24,25.73,2026-07-01
SCDS,76.26,76.88,2026-06-30
SCHL,47.69,48.07,2026-07-01
SCSC,52.17,53.14,2026-07-01
SDVY,43.41,43.63,2026-07-01
SEIS,33.29,33.7,2026-07-01
SENEA,181.65,182.55,2026-07-01
SFLO,34.84,35.15,2026-07-01
SFNC,23.37,23.37,2026-07-02
SFST,62.6,62.6,2026-07-02
SHBI,23.44,23.58,2026-07-01
SIGI,98.67,98.68,2026-07-01
SILC,51.51,52.95,2026-06-30
SIRI,30.22,30.32,2026-07-01
SKWD,59.36,61.24,2026-06-30
SLDB,10.24,10.41,2026-06-30
SLN,10.51,11.06,2026-07-01
SLQD,50.21,50.24,2026-06-29
SLS,13.6,15.88,2026-06-30
SMBC,78.33,78.33,2026-07-02
SMCF,38.79,39.22,2026-07-01
SNA,405.85,406.3,2026-07-01
SNFCA,9.79,10.14,2026-06-29
SOCA,10.28,10.28,2026-07-01
SOPH,5.63,6.3,2026-06-30
SOTK,5.93,6.24,2026-07-01
SPAQ,93.96,94.06,2026-06-30
SPG,224.78,228.58,2026-06-26
SPIT,34.57,34.96,2026-06-30
SQLV,52.6,52.96,2026-07-01
SRBK,20.1,20.19,2026-07-01
SRET,22.78,22.83,2026-06-30
SRRK,52.67,56.54,2026-06-29
SSBI,13.55,14.0,2026-06-26
STBA,49.92,50.22,2026-07-01
STGW,7.68,7.73,2026-07-01
STHO,9.12,9.29,2026-07-01
STNC,37.58,38.53,2026-06-30
STRZ,30.25,32.58,2026-07-01
SUPP,85.82,88.63,2026-06-30
SUSB,24.92,24.93,2026-06-26
SVA,6.47,6.47,2026-06-26
SVCC,10.58,10.58,2026-07-01
SVCO,12.52,14.39,2026-07-01
SWK,91.83,95.16,2026-07-01
SYZ,30.65,30.93,2026-06-30
TACT,5.67,6.02,2026-06-30
TAVI,10.65,11.91,2026-06-26
TAX,31.39,31.76,2026-07-01
TAXS,50.27,50.29,2026-06-30
TBIL,49.88,49.89,2026-07-02
TCBK,55.32,55.32,2026-07-02
TENB,37.47,39.43,2026-07-01
TER,416.66,487.91,2026-06-30
TERG,58.01,80.05,2026-06-30
TFSL,17.96,17.99,2026-07-01
TH,19.75,20.85,2026-06-26
THFF,78.26,78.63,2026-07-01
TILE,35.86,36.66,2026-07-01
TLA,24.68,24.8,2026-06-29
TMED,34.27,34.77,2026-06-30
TMNL,50.57,50.63,2026-06-29
TMSF,50.13,50.2,2026-06-29
TNXT,27.82,27.93,2026-06-30
TOI,5.53,5.82,2026-06-29
TOWN,36.83,37.09,2026-07-01
TRIN,17.97,18.08,2026-07-02
TRINI,25.33,25.33,2026-07-02
TRMK,47.4,47.44,2026-07-02
TROW,117.24,117.54,2026-07-01
TRS,43.26,45.43,2026-07-01
TRST,56.17,56.67,2026-07-02
TRV,336.3,337.46,2026-07-01
TRVG,5.32,5.7,2026-07-01
TRVI,17.73,19.26,2026-06-30
TSBK,45.58,45.64,2026-07-01
TSCM,21.25,21.35,2026-07-01
TWIN,22.85,24.5,2026-06-30
TWST,103.94,104.65,2026-07-01
TXG,39.22,40.08,2026-07-01
TXRH,191.03,196.86,2026-06-26
TXUG,27.32,27.58,2026-06-30
UAL,137.96,138.77,2026-06-30
UBSI,47.13,47.25,2026-07-02
UCTT,125.87,144.22,2026-06-30
UDR,40.82,41.09,2026-07-01
UFCS,53.49,53.81,2026-07-01
UFPT,268.73,275.2,2026-07-01
ULVM,106.23,106.66,2026-06-29
UMBF,146.35,146.6,2026-07-01
UNH,426.96,429.0,2026-07-02
UNHG,24.09,24.35,2026-07-02
UNP,279.81,279.85,2026-07-02
UNTY,60.01,60.86,2026-06-26
UPC,4.87,17.96,2026-06-29
URGN,37.66,39.58,2026-07-01
USB,62.17,62.38,2026-07-02
USCB,20.79,20.93,2026-06-26
USEA,2.62,2.72,2026-06-30
USFI,24.46,24.54,2026-06-26
USIO,2.55,2.62,2026-07-01
USTB,50.62,50.65,2026-06-26
USVM,109.81,110.35,2026-07-01
UTMD,70.63,75.75,2026-06-26
UVSP,45.46,45.46,2026-07-02
UYLD,51.01,51.06,2026-06-30
VALU,40.5,40.98,2026-06-29
VBIL,75.5,75.51,2026-07-02
VCEL,45.74,46.62,2026-06-26
VCSH,78.79,78.85,2026-06-29
VCYT,60.58,60.91,2026-06-30
VGUS,75.47,75.48,2026-07-02
VICR,340.0,382.65,2026-06-30
VLO,267.81,272.17,2026-06-29
VLYPO,24.9,25.0,2026-07-01
VMD,11.87,11.9,2026-07-02
VNME,10.22,10.22,2026-07-01
VONV,107.67,107.75,2026-07-02
VRIG,25.08,25.08,2026-07-01
VSAT,83.5,93.03,2026-07-01
VSDA,58.68,58.68,2026-07-02
VSEC,234.09,234.6,2026-07-01
VTWG,286.21,289.14,2026-07-01
VTWO,121.5,122.35,2026-07-01
VTWV,196.4,197.18,2026-07-01
WABC,60.44,60.5,2026-07-02
WAFD,39.11,39.25,2026-07-02
WASH,37.0,37.0,2026-07-02
WAVE,8.52,10.87,2026-06-25
WCBR,37.26,37.7,2026-07-01
WEC,117.51,119.06,2026-06-29
WELL,231.63,232.45,2026-07-02
WEST,7.64,10.19,2026-06-26
WEYS,39.89,39.9,2026-07-01
WNEB,14.67,14.68,2026-07-01
WRLD,216.41,227.68,2026-06-30
WSBC,40.26,40.26,2026-07-02
WSBF,21.0,21.0,2026-07-02
WSFS,78.86,78.89,2026-07-02
WSML,35.32,35.42,2026-07-01
WST,364.77,367.25,2026-07-02
WSTN,10.09,10.11,2026-06-29
WTBA,27.36,27.62,2026-07-01
WTFC,163.62,164.0,2026-07-02
WTG,10.46,10.46,2026-07-01
XBIL,50.04,50.04,2026-07-02
XMAG,25.97,26.1,2026-07-01
XMAX,9.0,9.31,2026-07-01
ZD,51.97,53.43,2026-07-01
ZHOG,51.26,51.35,2026-06-29
ZION,71.08,71.26,2026-07-02
ZMUN,50.1,50.16,2026-06-29
ZTRE,50.52,50.63,2026-06-26
ZTWO,50.36,50.41,2026-06-26
ZVRA,13.95,14.58,2026-06-30
