Ticker,Last Close,52W High,Date Hit
FMNB,14.86,14.91,2026-07-01
FNK,61.38,61.82,2026-07-01
FNLC,35.53,35.93,2026-06-29
FNWB,11.35,11.47,2026-07-01
FNX,144.97,146.75,2026-06-30
FNY,108.94,111.06,2026-06-30
FORM,147.13,160.27,2026-06-30
FRAF,63.84,64.67,2026-06-30
FRBA,17.99,18.19,2026-07-01
FRME,44.29,44.5,2026-07-01
FROG,90.39,93.12,2026-06-30
FRST,16.37,16.77,2026-06-26
FSBC,49.56,49.75,2026-07-01
FSBW,44.34,44.89,2026-07-01
FSTR,44.08,45.81,2026-06-25
FTA,97.25,98.09,2026-06-29
FTAIM,27.12,27.81,2026-06-25
FTDR,78.44,80.05,2026-07-01
FTNT,158.98,159.8,2026-07-01
FTQI,22.07,22.12,2026-07-01
FTXH,38.11,38.67,2026-06-30
FTXO,42.12,42.26,2026-07-01
FULT,24.46,24.55,2026-07-01
FUNC,46.18,46.3,2026-07-01
FUSB,16.5,16.99,2026-07-01
FV,74.24,76.08,2026-06-30
FVC,42.8,44.23,2026-06-30
FVN,10.97,11.99,2026-06-30
FXNC,30.94,31.21,2026-07-01
FYC,125.6,127.57,2026-07-01
FYT,70.08,70.67,2026-07-01
FYX,143.55,145.45,2026-07-01
GABC,48.06,48.94,2026-06-25
GAINI,25.55,25.67,2026-06-30
GARY,27.08,27.79,2026-06-30
GCBC,34.26,34.77,2026-07-01
GCMG,12.71,12.8,2026-07-01
GE,374.94,379.67,2026-06-25
GFLW,33.69,34.35,2026-06-30
GH,170.77,172.61,2026-07-01
GHRS,26.42,28.96,2026-06-29
GIW,10.07,10.1,2026-06-25
GIWWU,10.37,10.71,2026-06-25
GL,180.07,182.32,2026-07-01
GLW,220.63,271.78,2026-06-30
GNOM,57.78,57.99,2026-07-01
GNRC,270.22,296.44,2026-06-25
GPAC,10.01,10.02,2026-07-01
GSBC,81.16,81.37,2026-07-01
GTERA,10.31,10.32,2026-06-29
GTPE,60.96,61.93,2026-06-30
GTX,33.59,36.25,2026-06-30
GVLE,46.92,47.53,2026-06-25
GWW,1338.24,1390.96,2026-06-25
HAFC,33.18,33.27,2026-07-01
HAVA,10.1,10.13,2026-06-29
HBCP,70.66,70.71,2026-07-01
HBNC,20.48,20.51,2026-07-01
HBT,32.74,32.99,2026-07-01
HCSG,25.11,25.55,2026-07-01
HFBL,20.99,20.99,2026-07-01
HFWA,30.23,30.34,2026-07-01
HLXC,10.52,10.69,2026-06-30
HNDL,22.75,22.95,2026-06-30
HOFT,17.68,18.09,2026-07-01
HON,221.75,252.0,2026-06-29
HOPE,13.96,14.0,2026-07-01
HTO,60.74,61.79,2026-07-01
HUM,409.42,414.82,2026-07-01
HURC,22.3,23.75,2026-06-25
HWAY,38.45,43.62,2026-07-01
HWBK,39.99,40.36,2026-07-01
HWC,75.66,76.38,2026-07-01
HYNE,16.75,16.86,2026-06-26
HYP,30.91,32.16,2026-06-30
HYXF,46.61,46.94,2026-06-30
HYZD,22.55,22.62,2026-06-25
IART,17.89,18.92,2026-06-29
IBB,190.12,191.15,2026-06-30
IBBQ,32.68,32.82,2026-06-30
IBOC,77.02,78.46,2026-06-26
IBTG,22.82,22.83,2026-07-01
IBTH,22.3,22.31,2026-06-29
ICCC,11.0,11.16,2026-07-01
ICHR,111.77,113.58,2026-07-01
IESC,699.98,804.0,2026-06-25
IEX,224.96,230.18,2026-06-25
IGACR,0.18,0.22,2026-07-01
IGSB,52.17,52.28,2026-06-29
IJT,177.24,179.65,2026-07-01
ILMN,183.89,184.9,2026-07-01
ILPT,9.0,9.37,2026-06-29
IMCV,92.58,92.58,2026-07-02
IMUX,14.81,15.84,2026-06-26
IMVT,38.14,39.28,2026-06-26
INBK,28.59,28.72,2026-07-01
INCY,113.81,116.0,2026-07-01
INDB,85.0,85.74,2026-07-01
INDV,40.25,42.81,2026-06-26
INNV,11.71,12.64,2026-06-30
INTC,127.02,142.35,2026-06-30
INTG,46.0,52.0,2026-06-25
IPCX,10.33,10.34,2026-06-29
IPEX,10.5,10.52,2026-06-26
IRDM,55.72,56.61,2026-07-01
ITIC,279.39,282.23,2026-07-01
IVSS,29.98,30.34,2026-07-01
JBHT,290.07,294.98,2026-07-01
JBSS,88.2,88.66,2026-06-29
JCI,144.97,151.18,2026-07-01
JDOC,60.24,60.7,2026-06-29
JMSB,22.53,22.75,2026-07-01
JNJ,255.37,259.9,2026-06-30
JSMD,100.02,101.7,2026-07-01
JSML,93.18,97.96,2026-06-29
JTEK,108.32,111.82,2026-06-30
KALU,184.74,195.96,2026-06-30
KBWP,129.79,130.54,2026-07-01
KBWY,18.66,18.77,2026-07-01
KCHV,10.39,10.39,2026-06-30
KFFB,5.07,5.48,2026-06-30
KINS,19.69,19.79,2026-07-01
KLAC,264.73,307.37,2026-06-30
KLAG,57.42,77.55,2026-06-30
KLIC,133.49,135.8,2026-07-01
KNSA,62.88,64.81,2026-06-30
KO,81.47,83.62,2026-06-29
KOYN,10.15,10.15,2026-07-01
KRNY,9.54,9.62,2026-07-01
KRT,33.83,34.23,2026-07-01
KRYS,374.55,382.54,2026-06-30
KTCC,4.12,4.42,2026-06-30
L,114.12,115.1,2026-07-01
LAMR,156.64,158.44,2026-07-01
LARK,31.5,32.39,2026-06-26
LCNB,18.25,18.52,2026-06-26
LEXI,40.39,40.69,2026-06-30
LFAC,9.99,10.01,2026-06-25
LFSC,45.44,45.91,2026-06-30
LFST,11.56,11.59,2026-07-02
LGCF,35.87,36.16,2026-06-29
LGND,312.01,320.99,2026-06-30
LILA,7.92,8.1,2026-07-01
LILAK,7.94,8.05,2026-07-01
LIN,537.5,538.95,2026-07-01
LIND,26.76,30.0,2026-06-26
LINT,212.0,266.48,2026-06-30
LIVN,83.07,83.98,2026-06-26
LIXT,7.85,8.38,2026-07-01
LKSP,10.15,10.15,2026-07-01
