Ticker,Last Close,52W Low,Date Hit
HERO,25.09,23.33,2026-06-25
HHS,2.27,2.07,2026-06-26
HKIT,0.22,0.2,2026-07-01
HOLO,1.59,1.43,2026-06-25
HOWL,0.35,0.27,2026-06-29
HPAI,0.7,0.51,2026-06-25
HSAI,18.23,14.4,2026-06-26
HTZ,2.2,2.13,2026-07-01
HUIZ,1.11,1.04,2026-06-26
HXHX,0.49,0.32,2026-06-30
HYFM,0.74,0.72,2026-07-01
IBIT,34.0,32.84,2026-06-25
ICE,126.73,121.79,2026-06-29
ICMB,0.91,0.86,2026-07-01
IDAI,2.02,1.17,2026-06-25
IMCC,0.16,0.12,2026-06-25
IMNN,1.88,1.7,2026-06-29
INBS,2.23,2.08,2026-06-25
INLF,0.03,0.03,2026-06-25
INTJ,4.15,3.18,2026-06-30
INTZ,0.82,0.66,2026-06-26
INVE,2.65,2.43,2026-06-25
INVZ,0.76,0.54,2026-06-25
IPDN,0.67,0.55,2026-06-26
IPST,2.45,2.1,2026-06-30
IPW,2.13,1.91,2026-06-29
IQ,1.06,0.95,2026-06-25
ISPR,1.14,1.07,2026-07-01
ISUL,17.4,17.0,2026-06-30
IZM,0.32,0.26,2026-07-01
JSPR,0.46,0.31,2026-06-29
JZ,0.14,0.1,2026-07-01
KALA,1.78,1.62,2026-07-01
KBAB,5.65,4.95,2026-06-26
KBDU,20.72,16.19,2026-06-25
KBSX,0.96,0.81,2026-06-25
KC,9.18,8.35,2026-06-26
KDK,5.65,5.0,2026-06-26
KDKRW,0.82,0.73,2026-07-01
KIDZ,0.7,0.63,2026-06-30
KMRK,0.93,0.78,2026-06-26
KNDI,0.75,0.57,2026-06-29
KPDD,5.34,4.1,2026-06-26
KR,56.65,54.15,2026-07-01
KRKR,2.62,2.52,2026-06-25
KUST,1.33,0.85,2026-06-26
KWM,0.15,0.14,2026-07-01
KXIN,4.03,3.9,2026-06-30
KYIVW,3.8,3.8,2026-06-26
LAB,0.85,0.7,2026-06-26
LACG,5.61,5.15,2026-06-29
LATAW,0.4,0.4,2026-06-26
LDOS,105.32,98.86,2026-06-30
LE,10.53,9.56,2026-06-30
LGCL,1.48,0.65,2026-06-29
LGHL,0.35,0.29,2026-06-29
LGO,0.72,0.62,2026-06-29
LI,12.1,11.65,2026-06-30
LOT,1.2,1.0,2026-06-26
LPSN,1.94,1.8,2026-06-26
LTBR,8.96,8.42,2026-06-26
LUCYW,0.06,0.03,2026-06-25
MAT,13.86,13.55,2026-06-30
MAXI,8.51,8.22,2026-06-30
MCHI,51.04,49.88,2026-06-26
MDXH,0.52,0.4,2026-06-30
MERC,0.69,0.64,2026-07-01
MGN,0.13,0.12,2026-07-01
MIMI,2.37,2.0,2026-06-30
MIND,4.73,4.66,2026-06-30
MKZR,1.7,1.62,2026-06-29
MRLN,5.67,4.76,2026-06-29
MSS,0.68,0.64,2026-06-26
MST,8.8,6.47,2026-06-26
MSTP,14.21,10.13,2026-06-26
MSTR,99.46,81.81,2026-06-26
