Signal,Ticker,Sector,Last Close,52W Extreme,% From Extreme,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
NEW_HIGH,ABNB,Consumer Discretionary,178.07,178.48,-0.23,79.6,3.7,2026-08-07,40.7,13.47,1.41,0.32,,4.38,N,N,2
NEW_HIGH,AMZN,Consumer Discretionary,274.48,287.2,-4.43,62.9,0.7,2026-08-03,22.1,5.37,1.03,0.456,,12.43,N,N,2
NEW_HIGH,EXPE,Consumer Discretionary,310.68,331.31,-6.23,70.8,1.0,2026-08-06,19.5,64.72,0.8,2.303,62.0,15.91,N,N,2
NEW_HIGH,GRMN,Consumer Discretionary,310.89,312.7,-0.58,82.1,0.8,2026-08-07,32.1,6.64,3.03,0.025,135.0,9.7,N,N,4
NEW_HIGH,ROST,Consumer Discretionary,255.23,257.0,-0.69,75.7,0.6,2026-08-03,35.4,13.0,1.54,0.749,70.0,7.2,N,N,3
NEW_HIGH,TPR,Consumer Discretionary,162.36,163.94,-0.96,82.7,1.0,2026-08-06,49.5,48.14,1.84,5.749,99.0,3.28,N,N,2
NEW_HIGH,WSM,Consumer Discretionary,251.78,252.99,-0.48,73.8,1.1,2026-08-05,28.3,15.86,1.33,0.799,121.0,8.91,N,N,3
NEW_HIGH,TGT,Consumer Staples,149.7,150.07,-0.25,68.3,0.8,2026-08-03,19.8,4.15,0.93,1.175,310.0,7.57,N,N,2
NEW_HIGH,AIZ,Financials,289.55,303.94,-4.73,62.5,1.3,2026-08-06,13.9,2.35,0.38,0.362,122.0,20.88,N,N,4
NEW_HIGH,AMP,Financials,551.98,565.05,-2.31,68.4,0.8,2026-08-06,133.3,7.67,2.18,0.676,123.0,4.14,N,N,4
NEW_HIGH,BAC,Financials,63.17,63.97,-1.25,69.6,0.7,2026-08-06,14.6,1.61,,,203.0,4.33,N,N,3
NEW_HIGH,BEN,Financials,33.77,36.28,-6.92,59.5,0.7,2026-08-05,23.0,1.46,5.49,0.248,391.0,1.47,N,N,5
NEW_HIGH,BRK-B,Financials,521.8,525.44,-0.69,83.0,0.9,2026-08-06,15.5,0.0,2.88,0.177,,33.6,N,N,4
NEW_HIGH,CFG,Financials,72.67,74.54,-2.51,57.9,0.5,2026-08-05,15.8,1.28,,,253.0,4.59,N,N,3
NEW_HIGH,CPAY,Financials,392.94,405.95,-3.2,64.7,0.9,2026-08-05,24.2,7.4,0.97,2.723,,16.23,N,N,1
NEW_HIGH,GPN,Financials,86.12,90.85,-5.21,57.3,1.5,2026-08-05,40.8,0.99,0.82,0.983,116.0,2.11,N,N,4
NEW_HIGH,IVZ,Financials,31.58,32.55,-2.98,61.6,0.9,2026-08-06,,1.4,0.71,0.121,272.0,-0.68,N,N,3
NEW_HIGH,JPM,Financials,357.52,363.0,-1.51,68.8,0.6,2026-08-04,15.3,2.69,,,168.0,23.35,N,N,2
NEW_HIGH,MET,Financials,97.77,100.93,-3.13,68.9,1.0,2026-08-06,18.7,2.31,2.03,1.799,242.0,5.22,N,N,3
NEW_HIGH,PFG,Financials,113.4,116.61,-2.75,53.7,0.8,2026-08-06,16.2,2.0,1.59,0.353,296.0,7.02,N,N,3
NEW_HIGH,PNC,Financials,252.56,258.13,-2.16,55.2,0.5,2026-08-06,13.9,1.76,,,317.0,18.16,N,N,3
NEW_HIGH,PRU,Financials,121.28,127.72,-5.04,60.0,1.0,2026-08-05,11.0,1.32,0.78,1.639,462.0,11.02,N,N,4
NEW_HIGH,RJF,Financials,176.56,182.73,-3.38,65.4,0.5,2026-08-06,15.4,2.73,2.11,0.476,122.0,11.48,N,N,4
NEW_HIGH,SCHW,Financials,107.6,109.05,-1.33,67.6,0.8,2026-08-06,19.6,3.73,0.64,0.741,119.0,5.49,N,N,3
NEW_HIGH,USB,Financials,63.94,65.02,-1.66,54.9,0.5,2026-08-06,12.7,1.64,,,325.0,5.02,N,N,3
NEW_HIGH,XYZ,Financials,79.0,86.75,-8.93,49.4,1.1,2026-08-05,141.1,2.14,2.21,0.326,,0.56,N,N,3
NEW_HIGH,AMGN,Health Care,410.95,418.4,-1.78,78.7,0.7,2026-08-06,25.5,19.01,1.37,4.903,245.0,16.11,N,N,2
NEW_HIGH,BMY,Health Care,64.72,68.1,-4.96,71.9,0.6,2026-08-03,14.3,5.92,1.53,2.019,389.0,4.54,N,N,3
NEW_HIGH,CAH,Health Care,236.4,244.87,-3.46,62.0,0.7,2026-08-06,36.3,-19.62,0.91,,87.0,6.52,N,N,3
NEW_HIGH,CRL,Health Care,267.49,268.0,-0.19,80.3,0.7,2026-08-06,,4.38,1.35,1.05,,-4.81,N,N,0
NEW_HIGH,DVA,Health Care,183.77,247.49,-25.75,19.7,1.3,2026-08-03,15.6,-15.36,1.47,12.42,,11.8,N,N,2
NEW_HIGH,DXCM,Health Care,84.75,87.85,-3.53,65.1,0.9,2026-08-04,33.5,12.2,1.73,0.533,,2.53,N,N,2
NEW_HIGH,HSIC,Health Care,88.13,92.18,-4.39,58.6,0.5,2026-08-04,25.7,3.12,1.32,0.807,,3.43,N,N,2
NEW_HIGH,LH,Health Care,319.17,319.94,-0.24,76.1,0.5,2026-08-07,26.4,3.0,1.8,0.791,90.0,12.1,N,N,3
NEW_HIGH,SOLV,Health Care,82.98,90.0,-7.8,57.7,0.9,2026-08-06,10.1,2.9,1.02,1.103,,8.18,N,N,2
NEW_HIGH,VTRS,Health Care,16.43,18.39,-10.66,43.2,1.3,2026-08-06,,1.31,1.58,0.955,292.0,-0.37,N,N,3
NEW_HIGH,AME,Industrials,253.66,257.95,-1.66,71.8,0.8,2026-08-05,37.0,5.32,1.21,0.205,54.0,6.85,N,N,3
NEW_HIGH,EMR,Industrials,158.26,164.87,-4.01,74.1,0.9,2026-08-05,34.6,4.33,0.9,0.677,140.0,4.57,N,N,3
NEW_HIGH,ETN,Industrials,448.68,456.66,-1.75,65.6,0.7,2026-08-06,45.6,8.6,1.24,1.051,98.0,9.83,N,N,2
NEW_HIGH,EXPD,Industrials,178.71,187.74,-4.81,52.2,0.6,2026-08-05,26.1,10.97,1.57,0.267,91.0,6.86,N,N,3
NEW_HIGH,FAST,Industrials,51.84,51.9,-0.12,85.9,1.2,2026-08-07,44.3,14.62,4.18,0.109,185.0,1.17,N,N,4
NEW_HIGH,GE,Industrials,370.08,388.84,-4.82,68.4,0.6,2026-08-06,43.7,21.77,0.98,1.132,51.0,8.47,N,N,2
NEW_HIGH,HWM,Industrials,281.88,309.85,-9.03,58.1,0.9,2026-08-06,60.6,20.47,1.82,0.814,20.0,4.65,N,N,3
NEW_HIGH,JCI,Industrials,152.21,157.06,-3.09,74.7,0.8,2026-08-05,42.9,6.84,1.0,0.701,105.0,3.55,N,N,3
NEW_HIGH,NDSN,Industrials,310.11,315.68,-1.76,78.5,0.7,2026-08-06,33.1,5.4,2.6,0.616,106.0,9.37,N,N,4
NEW_HIGH,PH,Industrials,1073.87,1099.94,-2.37,78.9,1.2,2026-08-06,37.7,9.27,1.26,0.553,74.0,28.46,N,N,3
NEW_HIGH,RTX,Industrials,223.03,225.65,-1.16,86.7,0.9,2026-08-06,39.2,4.53,1.01,0.57,131.0,5.69,N,N,3
NEW_HIGH,SNA,Industrials,416.35,423.02,-1.58,57.3,1.0,2026-08-06,21.2,3.56,3.43,0.216,234.0,19.61,N,N,4
NEW_HIGH,SWK,Industrials,103.89,104.4,-0.49,78.5,1.4,2026-08-07,25.4,1.8,1.43,0.582,323.0,4.09,N,N,3
NEW_HIGH,URI,Industrials,1162.84,1179.18,-1.39,73.2,0.7,2026-08-07,28.0,7.86,0.76,1.668,68.0,41.51,N,N,2
NEW_HIGH,ANET,Information Technology,188.67,214.89,-12.2,63.1,0.9,2026-08-05,59.9,16.08,2.96,,,3.15,N,N,2
NEW_HIGH,CRWD,Information Technology,214.42,219.35,-2.25,62.2,0.7,2026-08-05,,47.11,1.53,0.176,,-0.02,N,N,1
NEW_HIGH,DDOG,Information Technology,233.93,292.72,-20.08,38.7,1.7,2026-08-05,477.4,20.87,3.21,0.293,,0.49,N,N,3
NEW_HIGH,DELL,Information Technology,453.77,485.7,-6.57,63.1,0.8,2026-08-05,34.9,-209.79,0.95,,56.0,13.02,N,N,3
NEW_HIGH,FTNT,Information Technology,159.64,172.09,-7.23,49.1,0.9,2026-08-05,56.4,75.52,1.28,0.362,,2.83,N,N,2
NEW_HIGH,HPQ,Information Technology,30.05,30.06,-0.03,74.9,1.2,2026-08-07,11.1,-191.4,0.79,,399.0,2.7,N,N,4
NEW_HIGH,MSI,Information Technology,467.55,493.57,-5.27,75.8,1.0,2026-08-06,36.9,28.96,1.1,3.579,104.0,12.67,N,N,2
NEW_HIGH,NTAP,Information Technology,189.52,195.7,-3.16,80.6,0.7,2026-08-04,29.8,27.49,1.44,2.023,110.0,6.35,N,N,2
NEW_HIGH,PANW,Information Technology,363.86,376.98,-3.48,57.5,0.8,2026-08-05,313.7,10.69,0.86,0.077,,1.16,N,N,2
NEW_HIGH,TDY,Information Technology,691.3,694.92,-0.52,78.2,0.7,2026-08-06,33.2,2.93,2.18,0.186,,20.81,N,N,3
NEW_HIGH,ZBRA,Information Technology,376.49,383.63,-1.86,88.6,0.8,2026-08-07,34.5,5.25,0.52,0.862,,10.91,N,N,2
NEW_HIGH,IFF,Materials,85.89,89.32,-3.84,67.0,0.8,2026-08-05,,1.57,2.06,0.448,186.0,-3.09,N,N,3
NEW_HIGH,NUE,Materials,272.63,280.11,-2.67,81.5,0.7,2026-08-05,21.7,2.81,2.51,0.305,82.0,12.54,N,N,4
NEW_HIGH,ACAD,Other,29.21,29.48,-0.92,76.1,1.1,2026-08-06,12.8,3.85,3.39,0.057,,2.29,N,N,4
NEW_HIGH,ACNB,Other,64.38,65.94,-2.37,67.2,0.6,2026-08-03,12.2,1.55,,,249.0,5.29,N,N,3
NEW_HIGH,ACRS,Other,5.91,6.51,-9.22,55.9,1.1,2026-08-05,,6.91,4.03,0.014,,-0.58,N,N,2
NEW_HIGH,ACT,Other,48.96,49.18,-0.45,69.8,0.8,2026-08-07,10.3,1.29,0.92,0.138,196.0,4.74,N,N,5
NEW_HIGH,ADPT,Other,24.93,24.96,-0.12,65.9,0.9,2026-08-05,,27.76,4.79,2.725,,-0.4,N,N,1
NEW_HIGH,AGEN,Other,6.96,8.85,-21.36,66.6,0.1,2026-08-06,3.4,-1.21,0.34,,,2.05,N,N,3
NEW_HIGH,AIRT,Other,32.0,35.0,-8.57,70.0,0.4,2026-08-06,1.1,1.08,1.68,2.463,,28.85,N,N,3
NEW_HIGH,ALNT,Other,112.81,117.48,-3.98,75.5,1.4,2026-08-07,66.4,6.28,3.42,0.633,14.0,1.7,N,N,4
NEW_HIGH,ALRS,Other,33.23,34.4,-3.4,63.0,0.6,2026-08-04,30.8,1.42,,,256.0,1.08,N,N,3
NEW_HIGH,AMCX,Other,11.86,12.52,-5.27,63.8,0.7,2026-08-06,,0.54,1.76,1.849,,-0.53,N,N,1
NEW_HIGH,AMLX,Other,22.82,24.6,-7.24,74.1,1.3,2026-08-07,,10.61,12.73,,,-1.41,N,N,1
NEW_HIGH,ANGO,Other,15.69,15.73,-0.25,75.8,0.7,2026-08-07,,3.83,2.19,0.064,,-0.88,N,N,2
NEW_HIGH,ANIK,Other,21.42,21.55,-0.6,80.5,1.9,2026-08-07,,2.09,4.48,0.184,,-0.23,N,N,2
