Signal,Ticker,Sector,Last Close,52W Extreme,% From Extreme,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
NEW_HIGH,PNTG,Other,40.32,42.69,-5.55,52.5,0.8,2026-07-28,46.9,4.05,1.19,1.166,,0.86,N,N,1
NEW_HIGH,PROV,Other,17.76,18.0,-1.33,77.6,0.9,2026-07-28,17.2,0.88,,,314.0,1.03,N,N,3
NEW_HIGH,PRPL,Other,8.1,8.5,-4.71,89.8,0.4,2026-07-27,,-14.65,1.24,,,-14.5,N,N,1
NEW_HIGH,QCRH,Other,102.95,104.35,-1.34,68.8,0.8,2026-07-31,12.2,1.47,,,39.0,8.45,N,N,4
NEW_HIGH,QUMS,Other,10.28,10.28,0.0,80.0,0.0,2026-07-31,85.7,-36.33,1.16,,,0.12,N,N,2
NEW_HIGH,RAPP,Other,40.98,44.28,-7.45,51.1,0.6,2026-07-28,,4.15,27.08,0.023,,-2.6,N,N,2
NEW_HIGH,RBCAA,Other,99.54,102.0,-2.41,78.0,1.2,2026-07-29,15.2,1.69,,,199.0,6.54,N,N,2
NEW_HIGH,RCKY,Other,48.84,50.73,-3.73,83.7,1.5,2026-07-29,12.8,1.46,2.97,0.484,139.0,3.81,Y,N,6
NEW_HIGH,RDVT,Other,69.38,69.88,-0.72,52.2,1.3,2026-07-29,71.5,9.37,11.22,0.026,,0.97,N,N,3
NEW_HIGH,REPL,Other,11.2,12.5,-10.4,54.7,5.4,2026-07-31,,5.57,4.79,0.672,,-3.38,N,N,2
NEW_HIGH,RMNI,Other,4.81,5.06,-4.94,51.5,2.3,2026-07-29,68.7,-26.87,0.84,,,0.07,N,N,2
NEW_HIGH,RPRX,Other,58.43,60.44,-3.33,60.2,0.8,2026-07-29,30.8,3.76,2.66,0.903,161.0,1.9,N,N,4
NEW_HIGH,RRBI,Other,100.55,103.49,-2.84,58.0,1.1,2026-07-29,14.5,1.77,,,80.0,6.94,N,N,3
NEW_HIGH,RUSHA,Other,79.79,83.5,-4.44,62.9,1.4,2026-07-29,24.0,2.77,1.45,0.631,70.0,3.32,N,N,3
NEW_HIGH,RUSHB,Other,77.73,81.1,-4.16,56.9,0.8,2026-07-29,23.4,2.7,1.45,0.631,72.0,3.32,N,N,3
NEW_HIGH,RVMD,Other,187.53,194.56,-3.61,53.4,0.8,2026-07-27,,25.03,6.79,0.292,,-7.11,N,N,2
NEW_HIGH,SAFT,Other,103.39,103.57,-0.17,86.8,1.1,2026-07-31,24.4,1.77,0.37,0.071,356.0,4.23,N,N,3
NEW_HIGH,SAIH,Other,18.0,21.0,-14.29,84.8,0.6,2026-07-28,,4.46,2.3,0.567,,-3.52,N,N,2
NEW_HIGH,SBLK,Other,28.75,29.34,-2.01,61.5,0.8,2026-07-31,23.4,1.32,1.73,0.451,358.0,1.23,N,N,4
NEW_HIGH,SBRA,Other,21.17,22.77,-7.03,64.8,0.8,2026-07-28,33.6,1.92,2.62,0.959,567.0,0.63,N,N,4
NEW_HIGH,SCII,Other,10.11,10.11,0.0,50.0,2.4,2026-07-31,,266.05,4.77,,,,N,N,1
NEW_HIGH,SCSC,Other,56.62,58.94,-3.94,63.8,1.3,2026-07-29,17.2,1.3,1.86,0.124,,3.29,N,N,3
NEW_HIGH,SDHI,Other,10.46,10.5,-0.38,75.0,9.6,2026-07-30,209.2,1.38,0.0,,,0.05,N,N,2
NEW_HIGH,SEIC,Other,102.98,104.47,-1.43,67.4,1.0,2026-07-29,18.2,4.94,5.06,0.024,101.0,5.67,N,N,4
NEW_HIGH,SHBI,Other,24.5,24.82,-1.29,74.9,1.0,2026-07-30,12.4,1.36,,,229.0,1.97,N,N,4
NEW_HIGH,SHIP,Other,17.49,18.08,-3.26,71.1,1.5,2026-07-31,9.7,1.27,,0.942,800.0,1.8,N,N,5
NEW_HIGH,SHOO,Other,46.08,48.76,-5.5,64.7,2.2,2026-07-31,23.0,3.5,1.91,0.388,182.0,2.0,N,N,3
NEW_HIGH,SIRI,Other,29.62,32.66,-9.31,43.7,1.3,2026-07-29,11.9,0.85,0.46,0.811,365.0,2.49,N,N,5
NEW_HIGH,SKWD,Other,59.95,63.96,-6.27,50.5,0.8,2026-07-28,14.4,2.18,1.91,0.397,,4.15,N,N,3
NEW_HIGH,SLDE,Other,19.97,23.0,-13.17,42.2,0.8,2026-07-29,4.8,2.22,1.46,0.032,140.0,4.14,N,N,4
NEW_HIGH,SLN,Other,10.49,12.19,-13.95,58.6,1.1,2026-07-27,,10.03,9.83,0.003,,-1.62,N,N,2
NEW_HIGH,SMBC,Other,77.41,79.39,-2.49,60.0,0.8,2026-07-29,12.1,1.49,,,132.0,6.42,N,N,4
NEW_HIGH,SOCA,Other,10.31,10.31,0.0,77.8,0.0,2026-07-31,,-37.47,5.06,,,,N,N,2
NEW_HIGH,SORNU,Other,10.05,10.05,0.0,60.0,0.0,2026-07-31,,176.32,0.05,,,,N,N,0
NEW_HIGH,SRCE,Other,89.74,91.46,-1.88,78.1,0.8,2026-07-29,12.9,1.68,,,187.0,6.97,N,N,3
NEW_HIGH,SSEA,Other,10.28,10.3,-0.19,61.9,0.0,2026-07-29,,19.41,11.08,,,-0.79,N,N,1
NEW_HIGH,STBA,Other,52.15,53.5,-2.52,69.7,1.0,2026-07-29,13.9,1.31,,,284.0,3.76,N,N,4
NEW_HIGH,STGW,Other,8.45,8.5,-0.59,62.1,1.7,2026-07-31,140.8,2.95,0.81,2.413,,0.06,N,N,1
NEW_HIGH,STRA,Other,82.0,89.73,-8.61,44.7,0.9,2026-07-30,13.7,1.12,1.1,0.065,293.0,5.99,N,N,5
NEW_HIGH,SVCC,Other,10.6,10.64,-0.38,59.4,1.9,2026-07-30,40.8,-44.92,2.18,,,0.26,N,N,3
NEW_HIGH,SYBT,Other,85.1,89.22,-4.62,72.0,1.4,2026-07-29,17.0,2.33,,,150.0,5.02,N,N,2
NEW_HIGH,TDAC,Other,10.83,10.9,-0.64,82.5,0.5,2026-07-28,38.7,-34.82,0.09,,,0.28,N,N,2
NEW_HIGH,TFSL,Other,18.41,19.3,-4.61,64.3,2.6,2026-07-31,51.1,2.67,,,614.0,0.36,N,N,2
NEW_HIGH,THFF,Other,80.55,82.03,-1.8,67.4,0.8,2026-07-30,11.3,1.46,,,278.0,7.14,N,N,4
NEW_HIGH,TOWN,Other,37.91,39.03,-2.87,67.1,0.9,2026-07-29,18.2,1.2,,,288.0,2.08,N,N,3
NEW_HIGH,TVAI,Other,10.37,10.37,0.0,60.0,0.1,2026-07-31,41.5,-33.13,0.4,,,0.25,N,N,2
NEW_HIGH,TXG,Other,47.27,50.34,-6.1,63.1,1.0,2026-07-31,,7.49,5.9,0.1,,-0.17,N,N,2
NEW_HIGH,TXRH,Other,205.44,210.24,-2.28,66.7,0.6,2026-07-30,32.8,8.91,0.46,0.685,146.0,6.27,N,N,3
NEW_HIGH,UBSI,Other,48.45,49.27,-1.66,68.4,1.1,2026-07-29,13.2,1.23,,,314.0,3.66,N,N,4
NEW_HIGH,UMBF,Other,145.73,149.98,-2.83,52.5,1.1,2026-07-30,12.1,1.47,,,137.0,12.02,N,N,4
NEW_HIGH,USCB,Other,21.97,23.74,-7.46,66.8,1.0,2026-07-28,14.1,1.8,,,216.0,1.56,N,N,3
NEW_HIGH,VCEL,Other,45.96,49.32,-6.81,43.5,1.0,2026-07-30,95.8,6.58,5.04,0.252,,0.48,N,N,3
NEW_HIGH,VHCPU,Other,10.14,10.16,-0.2,25.0,0.0,2026-07-28,,-53.65,8.39,,,,N,N,2
NEW_HIGH,VNME,Other,10.25,10.25,0.0,,4.8,2026-07-31,,602.94,3.39,0.206,,,N,N,2
NEW_HIGH,WSBC,Other,41.38,42.21,-1.97,65.4,0.7,2026-07-29,11.8,1.02,,,368.0,3.52,N,N,4
NEW_HIGH,WSTN,Other,10.14,10.16,-0.2,72.7,0.0,2026-07-28,,14.53,,0.108,,,N,N,1
NEW_HIGH,WTBA,Other,28.05,28.44,-1.37,67.1,1.1,2026-07-28,12.5,1.7,,,371.0,2.25,N,N,3
NEW_HIGH,WTG,Other,10.47,10.47,0.0,,0.0,2026-07-31,29.1,20.94,7.57,,,0.36,N,N,2
NEW_HIGH,XNCR,Other,20.21,21.76,-7.12,74.2,1.2,2026-07-30,,2.9,6.57,0.34,,-2.29,N,N,2
NEW_HIGH,YARW,Other,35.02,35.96,-2.61,93.1,0.4,2026-07-31,,,,,,,N,N,0
NEW_HIGH,ZTG,Other,4.4,6.0,-26.67,72.6,4.3,2026-07-31,44.0,,8.15,0.03,,0.1,N,N,3
NEW_HIGH,DOC,Real Estate,21.83,22.95,-4.88,52.8,1.2,2026-07-28,68.2,1.94,2.04,1.182,559.0,0.32,N,N,3
NEW_HIGH,EXR,Real Estate,148.04,158.88,-6.82,55.5,1.3,2026-07-29,32.7,2.36,0.51,1.017,438.0,4.53,N,N,2
NEW_HIGH,FRT,Real Estate,124.09,128.21,-3.21,60.5,1.5,2026-07-28,25.1,3.4,0.56,1.341,374.0,4.95,N,N,2
NEW_HIGH,HST,Real Estate,25.13,25.71,-2.26,74.0,1.1,2026-07-30,17.1,2.52,2.47,0.805,318.0,1.47,N,N,4
NEW_HIGH,KIM,Real Estate,25.48,26.65,-4.39,55.3,2.1,2026-07-28,29.3,1.65,0.49,0.788,408.0,0.87,N,N,3
